n, k, threads, oversample, pngram_time, csforge_time, jaccard_similarity, num_diff_counts
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, , , 6410.36, 0, 0
6, 100000, 64, 1.0, 1110.08, 6002.31, .69845610340200757511, 0
6, 100000, 64, 1.1, 1123.55, 6002.31, .75320178475941688508, 0
6, 100000, 64, 1.2, 1121.37, 6002.31, .79489710752331122618, 0
6, 100000, 64, 1.3, 1173.4, 6002.31, .83276059564719358533, 0
6, 100000, 64, 1.4, 1199.98, 6002.31, .86696040176987846087, 0
6, 100000, 64, 1.5, 1240.64, 6002.31, .90358349593109027744, 0
6, 100000, 64, 1.6, 1283.22, 6002.31, .92069452313956726752, 0
6, 100000, 64, 1.7, 1314.61, 6002.31, .93121028948842239431, 0
6, 100000, 64, 1.8, 1345.62, 6002.31, .94304922715216990022, 0
6, 100000, 64, 1.9, 1375.53, 6002.31, .95535915059198498284, 0
6, 100000, 64, 2.0, 1404.44, 6002.31, .96475234296716898834, 0
6, 100000, 64, 2.1, 1438, 6002.31, .97182265427047491348, 0
6, 100000, 64, 2.2, 1474.96, 6002.31, .98053137656833328382, 0
6, 100000, 64, 2.3, 1508.97, 6002.31, .99064397332537075744, 0
6, 100000, 64, 2.4, 1542.69, 6002.31, .99818165469422825229, 0
6, 100000, 64, 2.5, 1564.39, 6002.31, .99992000319987200511, 0
6, 100000, 64, 2.6, 1591.07, 6002.31, .99994000179994600161, 0
6, 100000, 64, 2.7, 1635.07, 6002.31, .99994000179994600161, 0
6, 100000, 64, 2.8, 1660.98, 6002.31, .99994000179994600161, 0
6, 100000, 64, 2.9, 1685.06, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.0, 1732.78, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.1, 1745.29, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.2, 1796.57, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.3, 1799.05, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.4, 1840.37, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.5, 1865.25, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.6, 1905.09, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.7, 1902.83, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.8, 1945.99, 6002.31, .99994000179994600161, 0
6, 100000, 64, 3.9, 1958.72, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.0, 1990.53, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.1, 2026.9, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.2, 2035.63, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.3, 2073.91, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.4, 2101.59, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.5, 2128.22, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.6, 2149.83, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.7, 2160.52, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.8, 2202.02, 6002.31, .99994000179994600161, 0
6, 100000, 64, 4.9, 2230.47, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.0, 2240.76, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.1, 2263.38, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.2, 2293.75, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.3, 2300.15, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.4, 2316.35, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.5, 2355.41, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.6, 2381.73, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.7, 2390.29, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.8, 2427.44, 6002.31, .99994000179994600161, 0
6, 100000, 64, 5.9, 2454.52, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.0, 2469.19, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.1, 2462.22, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.2, 2498.04, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.3, 2510.48, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.4, 2598.68, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.5, 2571.14, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.6, 2575.65, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.7, 2623.17, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.8, 2633.61, 6002.31, .99994000179994600161, 0
6, 100000, 64, 6.9, 2624.35, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.0, 2652.65, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.1, 2716.46, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.2, 2748.03, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.3, 2742.52, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.4, 2738.78, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.5, 2746.49, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.6, 2787.27, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.7, 2802.14, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.8, 2849.07, 6002.31, .99994000179994600161, 0
6, 100000, 64, 7.9, 2867.89, 6002.31, .99994000179994600161, 0
6, 100000, 64, 8.0, 2917.2, 6002.31, .99994000179994600161, 0
